時間,地點,餐廳/美食
25/07/26,日本,萬博越南美食
25/07/26,日本,萬博馬來西亞美食
25/07/26,日本,全家蛋糕
25/07/25,日本,全家御飯糰，蛋糕
25/07/25,日本,梅田洋食all star set
25/07/25,日本,梅田星巴克
25/07/24,日本,全家雞肉串
25/07/24,日本,環球影城三根掃帚
25/07/23,日本,唐吉訶德壽司，泡麵
25/07/23,日本,大阪城附近冷麵
25/07/23,飛機上,捷星航空飛機餐
25/07/21,新竹,定食8
25/07/20,新竹家,韓媽媽
25/07/19,新竹家,粥大福
25/07/19,新竹,克蔓莉咖啡館（和小狐狸媽媽吃飯）
25/07/07,新竹家,雞絲飯，排骨湯
25/07/07,竹南家,滿漢大餐，鹹豬肉，杏鮑菇
25/07/07,竹南家,蝦餅
25/07/06,竹南家,一蘭拉麵
25/07/06,竹南,pizza hut(小狐狸鄰居家)
25/07/05,竹南,藏壽司
25/07/01,竹北,gogi gogi
25/06/30,新竹家,紅豆餅
25/06/29,新竹,星巴克
25/06/29,新竹,三顧茅廬（視訊小狐狸外婆）
25/06/29,新竹,麥味登
25/06/28,新竹,"mister donuts, 藏壽司"
25/06/28,新竹,小媽咪早餐店
25/06/27,竹北,柴堡
25/06/24,竹南,7-11
25/06/23,竹南家,八方雲集(正式老師Get，視訊小狐狸媽媽)
25/06/22,竹南,NU PASTA(+表藝老師)
25/06/22,竹南,7-11，全家
25/06/21,竹南家,好口味牛肉麵
25/06/21,竹南家,好口味牛肉麵，照南（小狐狸）
25/06/21,竹南家,7-11，全聯蛋糕（小狐狸）
25/06/20,竹南家,7-11，照南（小狐狸）
25/06/20,竹南家,拎著走，照南（小狐狸）
25/06/20,竹南家,7-11
25/06/19,竹南家,八方雲集
25/06/17,竹南家,八方雲集
25/06/15,內壢,大戶屋
25/06/08,竹南,甘泉魚麵
25/06/08,竹南,7-11
25/06/07,竹南家,teatop，九鍋
25/06/07,竹南家,得正，越南河粉
25/06/07,竹南家,麥味登（100天）
25/06/06,竹南家,麻古，八方雲集
25/06/01,竹南家,漢堡排，炒洋蔥，蘿蔔糕，蝦餅
25/06/01,竹南家,麥味登
25/05/31,竹南家,黃悶雞
25/05/31,竹南家,肯德基
25/05/31,竹南家,麥味登
25/05/30,竹南,紅林鐵板燒
25/05/30,竹南,村禾牛肉麵
25/05/30,竹南家,麥味登
25/05/29,竹南家,pizza hut
25/05/29,竹南,照南國中（小狐狸），牛爸爸麵食館
25/05/29,竹南,7-11（小狐狸），彬彬早餐
25/05/28,竹南,蚵仔煎，蛤蜊湯，炸雞翅
25/05/25,竹南家,九鍋
25/05/25,竹南家,麥味登
25/05/24,竹南家,chick炸翻天
25/05/24,新莊,菲斯特義式料理
25/05/18,竹南家,洪記中港肉圓
25/05/18,竹南家,Q Burger
25/05/17,竹南家,肯德基
25/05/17,竹南家,麥味登
25/05/16,竹南家,八方雲集
25/05/14,竹北,陶板屋（精靈生日）
25/05/04,竹南,夏川食堂
25/05/04,竹南家,麥味登
25/05/03,竹南家,臭豆腐
25/05/03,竹南家,漢堡排，蘿蔔糕
25/05/03,竹南家,麥味登
25/05/02,竹南,NU PASTA
25/05/02,竹南,照南國中（小狐狸），7-11小餐盒
25/05/02,竹南,麥味登
25/05/01,竹南家,彼得滷味，檸檬千層
25/05/01,竹南,照南國中（小狐狸），烤肉飯，彬彬
25/05/01,竹南,麥味登
25/04/30,竹南家,拎著走，大苑子
25/04/27,竹南家,韓式冷拌麵，自己醃的蛋，泡菜
25/04/27,竹南家,麥味登
25/04/26,竹南家,pizza hut，韓國氣泡酒
25/04/26,竹南家,稜角麻油米糕
25/04/26,竹南家,全聯小蛋糕，自己醃的蛋
25/04/25,竹南家,八方雲集，潮麻吉
25/04/20,竹南家,鹿品土雞肉飯，teatop
25/04/20,竹南家,麥味登
25/04/19,竹南,獅山公園夜市，Teatop
25/04/19,竹南家,烤鴨半隻
25/04/19,竹南家,麥味登蘿蔔糕（自己煎）
25/04/18,竹南家,八方雲集，紅豆湯，章魚燒
25/04/06,竹南家,21世紀烤雞，得正
25/04/06,竹南家,麥味登
25/04/05,竹南家,火鍋
25/04/05,竹南家,辣炒雞肉飯
25/04/05,竹南家,巧克力磅蛋糕
25/04/04,竹南家,辣炒雞肉飯
25/04/04,竹南,品田牧場
25/04/04,竹南家,巧克力磅蛋糕
25/04/03,竹南家,辣炒雞肉飯
